1	5502	45
2	5114	32
3	4543	37
4	6564	40
5	7136	44
6	8292	42
7	8642	58
8	9295	57
9	8001	47
10	7217	53
11	9468	65
12	11849	80
13	13597	77
14	14436	57
15	14924	91
16	13181	85
17	10421	109
18	16374	111
19	17751	141
20	17249	128
21	22052	126
22	19961	150
23	17889	155
24	13288	172
25	17525	193
26	20605	211
27	23117	226
28	24474	244
29	21808	251
30	19668	250
31	15432	238
32	20918	296
33	24982	298
34	24240	315
35	26045	324
36	22538	307
37	16496	349
38	17357	327
39	22155	332
40	23856	364
41	24405	369
42	24405	386
43	22473	423
44	18163	388
45	14796	351
46	21653	402
47	26675	403
48	21383	377
49	27969	430
50	21590	439
51	17789	383
52	13165	392
53	19029	416
54	19364	401
55	21801	402
56	19930	398
57	15748	394
58	17251	356
59	11206	362
60	10249	379
61	14039	314
62	12628	357
63	18026	332
64	9358	350
65	16682	316
66	7038	273
67	11183	291
68	10845	261
69	9444	256
70	11471	285
71	9979	294
72	8593	254
73	6327	240
74	7113	223
75	8321	233
76	6471	235
77	7860	203
78	7235	229
79	4997	204
80	3763	162
81	5305	190
82	5994	190
83	5055	181
84	5931	146
85	4609	149
86	3113	136
87	2774	141
88	3799	102
89	3832	134
90	3987	122
91	3908	122
92	3313	119
93	2878	115
94	1913	109
95	2754	107
96	2660	105
97	3459	84
98	2929	70
99	2688	84
100	1476	80
101	1887	75
102	2201	71
103	2720	76
104	2483	77
105	2138	69
106	2219	64
107	1342	74
108	988	62
109	2167	47
110	1972	49
111	2392	51
112	2098	51
113	1785	34
114	941	46
115	970	50
116	2146	50
117	1924	36
118	2006	34
119	1654	43
120	1720	50
121	1099	29
122	290	33
123	1888	29
124	1549	45
125	2576	35
126	1545	42
127	1713	36
128	1143	30
129	1094	31
130	1790	29
131	1794	23
132	2073	32
133	1773	24
134	1717	33
135	1199	22
136	956	21
137	1677	23
138	1644	23
139	1734	17
140	1067	23
